id,date,trade_code,high,low,open,close,volume,created_at,updated_at
,8/10/2020,1JANATAMF,4.3,4.1,4.2,4.1,"2,285,416",,
,8/9/2020,1JANATAMF,4.3,4.1,4.1,4.2,"1,292,933",,
,8/6/2020,1JANATAMF,4.2,4.1,4.1,4.1,"2,653,824",,
,8/5/2020,1JANATAMF,4.1,4.1,4.1,4.1,"360,439",,
,8/4/2020,1JANATAMF,4.1,4.1,4.1,4.1,"15,217",,
,8/3/2020,1JANATAMF,4.1,4.1,4.1,4.1,"26,205",,
,7/30/2020,1JANATAMF,4.1,4.1,4.1,4.1,"3,737",,
,7/29/2020,1JANATAMF,4.1,4.1,4.1,4.1,"1,803",,
,7/28/2020,1JANATAMF,4.1,4.1,4.1,4.1,1,,
,7/27/2020,1JANATAMF,4.1,4.1,4.1,4.1,775,,
,7/26/2020,1JANATAMF,4.1,4.1,4.1,4.1,"3,100",,
,7/23/2020,1JANATAMF,4.1,4.1,4.1,4.1,"10,053",,
,7/22/2020,1JANATAMF,0,0,0,4.1,0,,
,7/21/2020,1JANATAMF,4.1,4.1,4.1,4.1,"13,100",,
,7/20/2020,1JANATAMF,4.1,4.1,4.1,4.1,460,,
,7/19/2020,1JANATAMF,4.1,4.1,4.1,4.1,760,,
,7/16/2020,1JANATAMF,4.1,4.1,4.1,4.1,500,,
,7/15/2020,1JANATAMF,4.1,4.1,4.1,4.1,"18,276",,
,7/14/2020,1JANATAMF,4.1,4.1,4.1,4.1,"3,330",,
,7/13/2020,1JANATAMF,4.1,4.1,4.1,4.1,"6,088",,
,7/12/2020,1JANATAMF,4.1,4.1,4.1,4.1,"28,600",,
,7/9/2020,1JANATAMF,4.1,4.1,4.1,4.1,"30,075",,
,7/8/2020,1JANATAMF,4.1,4.1,4.1,4.1,"1,255",,
,7/7/2020,1JANATAMF,4.1,4.1,4.1,4.1,"21,005",,
,7/6/2020,1JANATAMF,4.1,4.1,4.1,4.1,"66,485",,
,7/5/2020,1JANATAMF,4.1,4.1,4.1,4.1,"1,500",,
,7/2/2020,1JANATAMF,0,0,0,4.1,0,,
,8/10/2020,1STPRIMFMF,16,15.1,15.4,15.2,"1,286,049",,
,8/9/2020,1STPRIMFMF,15.8,14.4,14.7,15.2,"1,949,695",,
,8/6/2020,1STPRIMFMF,15.7,14.3,14.7,14.7,"1,670,068",,
,8/5/2020,1STPRIMFMF,14.6,13.3,13.4,14.6,"2,055,153",,
,8/4/2020,1STPRIMFMF,13.5,13.2,13.4,13.3,"604,707",,
,8/3/2020,1STPRIMFMF,13.7,13.2,13.5,13.3,"712,403",,
,7/30/2020,1STPRIMFMF,13.7,13.2,13.2,13.4,"502,133",,
,7/29/2020,1STPRIMFMF,13.8,13.1,13.8,13.2,"637,044",,
,7/28/2020,1STPRIMFMF,14,13.1,13.5,13.8,"608,118",,
,7/27/2020,1STPRIMFMF,13.8,13.4,13.6,13.5,"711,374",,
,7/26/2020,1STPRIMFMF,14.1,13.5,14,13.8,"472,018",,
,7/23/2020,1STPRIMFMF,14.8,13.7,13.9,13.9,"851,252",,
,7/22/2020,1STPRIMFMF,14.3,13.7,14.2,13.9,"883,202",,
,7/21/2020,1STPRIMFMF,14,12.9,12.9,13.9,"1,661,389",,
,7/20/2020,1STPRIMFMF,13,12.5,12.5,12.8,"462,401",,
,7/19/2020,1STPRIMFMF,13.2,12.4,13.2,12.5,"401,452",,
,7/16/2020,1STPRIMFMF,13.5,13.1,13.5,13.1,"239,767",,
,7/15/2020,1STPRIMFMF,13.6,12.9,13,13.4,"308,142",,
,7/14/2020,1STPRIMFMF,13.4,12.8,13.1,12.9,"280,361",,
,7/13/2020,1STPRIMFMF,13.5,13,13.4,13.2,"478,960",,
,7/12/2020,1STPRIMFMF,13.8,13.1,13.5,13.3,"706,891",,
,7/9/2020,1STPRIMFMF,13.5,12.5,12.5,13.5,"758,711",,
,7/8/2020,1STPRIMFMF,12.4,12,12.3,12.3,"413,561",,
,7/7/2020,1STPRIMFMF,12.4,12.1,12.1,12.2,"239,990",,
,7/6/2020,1STPRIMFMF,12.2,11.9,12,12,"243,674",,
,7/5/2020,1STPRIMFMF,12.3,11.9,12.3,12,"247,495",,
